state,district,id,name,votes %,money %,poll %
MA,05,H4MA05084,"Clark, Katherine M.",98.29,100.0,72.0
DE,00,H0DE01025,"Izzo, Rose",36.76,2.638322398433004,32.0
CA,47,H4CA47069,"Whallon, Andy",44.01,0.884244357571539,33.0
LA,06,H4LA06088,"Dietzel, Paul, II",13.55,13.957327189841083,46.0
LA,06,H4LA06161,"Edwards, Edwin",30.12,11.390500131346935,28.0
TN,09,H6TN09068,"Cohen, Steve ",74.97,85.90090450798755,72.0
CA,41,H2CA43245,"Takano, Mark",56.64,81.29617173786009,58.0
MA,03,H8MA05143,"Tsongas, Nicola S.",62.96,98.77436946563869,53.0
IL,18,H4IL18117,"Miller, Darrel",25.28,2.1514623958112766,33.0
MA,03,H4MA03097,"Wofford, Roseann L. Ehrhard ",36.95,1.2256305343613032,40.0
CT,02,H2CT02112,"Courtney, Joe",62.27,94.2816872951687,50.0
MI,11,H4MI11105,"McKenzie, Bobby",40.47,29.2758242094084,35.0
NY,17,H8NY20056,"Lowey, Nita M.",56.39,89.26972042493736,61.0
GA,03,H4GA08067,"Westmoreland, Lynn Acton",100.0,100.0,67.0
CA,03,H4CA03096,"Logue, Dan",47.28,49.70085155957445,39.0
TX,24,H2TX24114,"McGehearty, Patrick",32.31,2.546869811360351,35.0
TX,20,H2TX35011,"Castro, Joaquin",75.66,100.0,62.0
LA,05,H4LA05247,"Dasher, ""Zach""",22.39,36.39400919350117,41.0
MT,00,H4MT01041,"Zinke, Ryan",55.41,75.09676126482044,49.0
NC,04,H6NC04037,"Price, David",74.75,100.0,73.0
CA,52,H4CA52051,"DeMaio, Carl",48.41,51.57583354744786,40.0
CA,08,H6CA40234,"Conaway, Bob",32.35,0.7814227708077324,31.0
NJ,06,H4NJ06109,"Wilkinson, Anthony E.",38.93,12.70315943885939,32.0
CA,52,H2CA52089,"Peters, Scott",51.59,48.42416645255216,49.0
IL,01,H2IL01042,"Rush, Bobby L.",73.09,100.0,67.0
GA,12,H4GA12010,"Barrow, John Jenkins",45.25,53.95099034223424,46.0
